Category,Category Persian Translation,Subcategory,Subcategory Persian Translation
"Technology & Software Development","فناوری و توسعه نرم‌افزار","Software Engineering (Frontend, Backend, Full Stack, Embedded)","مهندسی نرم‌افزار (فرانت‌اند، بک‌اند، فول‌استک، امبدد)"
"Technology & Software Development","فناوری و توسعه نرم‌افزار","Web Development","توسعه وب"
"Technology & Software Development","فناوری و توسعه نرم‌افزار","Mobile Development (iOS, Android)","توسعه موبایل (آی‌اواس، اندروید)"
"Technology & Software Development","فناوری و توسعه نرم‌افزار","Data & Analytics (Data Scientist, Data Engineer, BI Analyst)","داده و تحلیل (دانشمند داده، مهندس داده، تحلیلگر هوش تجاری)"
"Technology & Software Development","فناوری و توسعه نرم‌افزار","AI/ML & Advanced Analytics","هوش مصنوعی/یادگیری ماشین و تحلیل پیشرفته"
"Technology & Software Development","فناوری و توسعه نرم‌افزار","DevOps & Cloud Engineering","دواپس و مهندسی ابر"
"Technology & Software Development","فناوری و توسعه نرم‌افزار","Cybersecurity","امنیت سایبری"
"Technology & Software Development","فناوری و توسعه نرم‌افزار","IT Support & System Administration","پشتیبانی فناوری اطلاعات و مدیریت سیستم"
"Technology & Software Development","فناوری و توسعه نرم‌افزار","Database Administration","مدیریت پایگاه داده"
"Engineering & Technical","مهندسی و فنی","Civil & Construction Engineering","مهندسی عمران و ساخت‌وساز"
"Engineering & Technical","مهندسی و فنی","Mechanical & Industrial Engineering","مهندسی مکانیک و صنعتی"
"Engineering & Technical","مهندسی و فنی","Electrical & Electronics Engineering","مهندسی برق و الکترونیک"
"Engineering & Technical","مهندسی و فنی","Chemical & Process Engineering","مهندسی شیمی و فرآیند"
"Engineering & Technical","مهندسی و فنی","Biomedical & Healthcare Engineering","مهندسی زیست‌پزشکی و مراقبت‌های بهداشتی"
"Engineering & Technical","مهندسی و فنی","Mining, Materials & Metallurgy","معدن، مواد و متالورژی"
"Engineering & Technical","مهندسی و فنی","Project & Process Engineering","مهندسی پروژه و فرآیند"
